PROLIFIC_PID,Answer.text,AwareResponse,recoded,awarenext.keys,awarenext.rt,Awareness.thisRepN,Awareness.thisTrialN,Awareness.thisN,Awareness.thisIndex,Awareness.ran,AwareQuestion,AwareAnswer
612d9dd386a8449802fba920,warm,warm,warm,space,4.964,0,1,1,1,1,What do you think the word is? Type in your answer in the textbox,fair
612d9dd386a8449802fba920,y,y,y,space,2.695,0,2,2,2,1,"Do you think ""even"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
612d9dd386a8449802fba920,fair,fair,fair,space,2.615,0,3,3,3,1,What do you think the word was? Type your answer,warm
612d9dd386a8449802fba920,y,y,y,space,6.897,0,4,4,4,1,"Do you think ""warm"" mostly appeared in a particular colour?. If yes, then type ""y"", ""n"" for no and if you don't know type ""k"".",y
612d9dd386a8449802fba920,e,e,e,space,6.684,0,5,5,5,1,"Which colour almost always occurred with ""warm""? Type the response key you pressed for that particular colour",e
612d9dd386a8449802fba920,y,y,y,space,1.97,0,6,6,6,1,"Do you think ""fair"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
612d9dd386a8449802fba920,u,u,u,space,1.245,0,7,7,7,1,"Which colour almost always occurred with ""fair""?  Type the response key you pressed for that particular colour",u
612d9dd386a8449802fba920,n,n,n,space,12.783,0,8,8,8,1,"Do you think ""high"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
612d9dd386a8449802fba920,e,e,e,space,8.164,0,9,9,9,1,"Which colour almost always occurred with ""high""?  Type the response key you pressed for that particular colour",u
612d9dd386a8449802fba920,k,k,k,space,10.642,0,10,10,10,1,"Do you think ""even"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
612d9dd386a8449802fba920,e,e,e,space,2.046,0,11,11,11,1,"Which colour almost always occurred with ""even""? Type the response key you pressed for that particular colour",e
611a92dc820df144d5780125,n,n,n,space,15.6551,0,0,0,0,1,"Do you think ""high"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
611a92dc820df144d5780125,fair,fair,fair,space,10.8997,0,1,1,1,1,What do you think the word is? Type in your answer in the textbox,fair
611a92dc820df144d5780125,y,y,y,space,6.8804,0,2,2,2,1,"Do you think ""even"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
611a92dc820df144d5780125,fair,fair,fair,space,5.1396,0,3,3,3,1,What do you think the word was? Type your answer,warm
611a92dc820df144d5780125,y,y,y,space,7.5492,0,4,4,4,1,"Do you think """"warm"""" mostly appeared in a particular colour?. If yes then type ""y"" and ""n"""" for no and if you don't know type ""k"".",y
611a92dc820df144d5780125,red,red,e,space,3.72,0,5,5,5,1,"Which colour almost always occurred with ""warm""? Type the response key you pressed for that particular colour",e
611a92dc820df144d5780125,y,y,y,space,3.3103,0,6,6,6,1,"Do you think ""fair"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
611a92dc820df144d5780125,green,green,u,space,2.2118,0,7,7,7,1,"Which colour almost always occurred with ""fair""?  Type the response key you pressed for that particular colour",u
611a92dc820df144d5780125,y,y,y,space,4.859,0,8,8,8,1,"Do you think ""high"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
611a92dc820df144d5780125,green,green,u,space,4.3493,0,9,9,9,1,"Which colour almost always occurred with ""high""?  Type the response key you pressed for that particular colour",u
611a92dc820df144d5780125,y,y,y,space,3.0791,0,10,10,10,1,"Do you think ""even"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
611a92dc820df144d5780125,red,red,e,space,1.3021,0,11,11,11,1,"Which colour almost always occurred with ""even""? Type the response key you pressed for that particular colour",e
5c2c1e7810677f0001dcb7f8,k,k,k,space,19.695,0,0,0,0,1,"Do you think ""high"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
5c2c1e7810677f0001dcb7f8,warm,warm,warm,space,16.743,0,1,1,1,1,What do you think the word is? Type in your answer in the textbox,fair
5c2c1e7810677f0001dcb7f8,y,y,y,space,20.046,0,2,2,2,1,"Do you think ""even"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
5c2c1e7810677f0001dcb7f8,fair,fair,fair,space,3.867,0,3,3,3,1,What do you think the word was? Type your answer,warm
5c2c1e7810677f0001dcb7f8,k,k,k,space,15.317,0,4,4,4,1,"Do you think ""warm"" mostly appeared in a particular colour?. If yes, then type ""y"", ""n"" for no and if you don't know type ""k"".",y
5c2c1e7810677f0001dcb7f8,red,red,e,space,5.997,0,5,5,5,1,"Which colour almost always occurred with ""warm""? Type the response key you pressed for that particular colour",e
5c2c1e7810677f0001dcb7f8,k,k,k,space,11.829,0,6,6,6,1,"Do you think ""fair"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
5c2c1e7810677f0001dcb7f8,green,green,u,space,6.829,0,7,7,7,1,"Which colour almost always occurred with ""fair""?  Type the response key you pressed for that particular colour",u
5c2c1e7810677f0001dcb7f8,n,n,n,space,6.474,0,8,8,8,1,"Do you think ""high"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
5c2c1e7810677f0001dcb7f8,red,red,e,space,9.38,0,9,9,9,1,"Which colour almost always occurred with ""high""?  Type the response key you pressed for that particular colour",u
5c2c1e7810677f0001dcb7f8,n,n,n,space,12.944,0,10,10,10,1,"Do you think ""even"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
5c2c1e7810677f0001dcb7f8,green,green,u,space,5.466,0,11,11,11,1,"Which colour almost always occurred with ""even""? Type the response key you pressed for that particular colour",e
610726b29bdbcfbbaeaa5c74,n,n,n,space,11.065,0,0,0,0,1,"Do you think ""high"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
610726b29bdbcfbbaeaa5c74,high,high,high,space,10.414,0,1,1,1,1,What do you think the word is? Type in your answer in the textbox,fair
610726b29bdbcfbbaeaa5c74,n,n,n,space,11.956,0,2,2,2,1,"Do you think """"even"""" was always followed by a particular word? Type ""y"" for yes  and ""n"""" for no and and ""k"" in case you do not know.""",y 
610726b29bdbcfbbaeaa5c74,even,even,even,space,2.623,0,3,3,3,1,What do you think the word was? Type your answer,warm
610726b29bdbcfbbaeaa5c74,n,n,n,space,10.413,0,4,4,4,1,"Do you think ""warm"" mostly appeared in a particular colour?. If yes, then type ""y"", ""n"" for no and if you don't know type ""k"".",y
610726b29bdbcfbbaeaa5c74,warm,warm,k,space,1.738,0,5,5,5,1,"Which colour almost always occurred with ""warm""? Type the response key you pressed for that particular colour",e
610726b29bdbcfbbaeaa5c74,n,n,n,space,1.789,0,6,6,6,1,"Do you think ""fair"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
610726b29bdbcfbbaeaa5c74,fair,fair,k,space,2.256,0,7,7,7,1,"Which colour almost always occurred with ""fair""?  Type the response key you pressed for that particular colour",u
610726b29bdbcfbbaeaa5c74,n,n,n,space,2.574,0,8,8,8,1,"Do you think ""high"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
610726b29bdbcfbbaeaa5c74,high,high,k,space,1.985,0,9,9,9,1,"Which colour almost always occurred with ""high""?  Type the response key you pressed for that particular colour",u
610726b29bdbcfbbaeaa5c74,n,n,n,space,1.766,0,10,10,10,1,"Do you think ""even"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
610726b29bdbcfbbaeaa5c74,even,even,k,space,1.489,0,11,11,11,1,"Which colour almost always occurred with ""even""? Type the response key you pressed for that particular colour",e
61118b8a86db70c1e312c259,y,y,y,space,17.4711,0,0,0,0,1,"Do you think ""high"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
61118b8a86db70c1e312c259,fair,fair,fair,space,5.7808,0,1,1,1,1,What do you think the word is? Type in your answer in the textbox,fair
61118b8a86db70c1e312c259,y,y,y,space,9.7702,0,2,2,2,1,"Do you think ""even"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
61118b8a86db70c1e312c259,warm,warm,warm,space,4.4586,0,3,3,3,1,What do you think the word was? Type your answer,warm
61118b8a86db70c1e312c259,y,y,y,space,8.858,0,4,4,4,1,"Do you think ""warm"" mostly appeared in a particular colour?. If yes, then type ""y"", ""n"" for no and if you don't know type ""k"".",y
61118b8a86db70c1e312c259,e,e,e,space,21.2425,0,5,5,5,1,"Which colour almost always occurred with ""warm""? Type the response key you pressed for that particular colour",e
61118b8a86db70c1e312c259,y,y,y,space,4.3539,0,6,6,6,1,"Do you think ""fair"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
61118b8a86db70c1e312c259,u,u,u,space,3.3115,0,7,7,7,1,"Which colour almost always occurred with ""fair""?  Type the response key you pressed for that particular colour",u
61118b8a86db70c1e312c259,k,k,k,space,8.3885,0,8,8,8,1,"Do you think ""high"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
61118b8a86db70c1e312c259,u,u,u,space,13.1028,0,9,9,9,1,"Which colour almost always occurred with ""high""?  Type the response key you pressed for that particular colour",u
61118b8a86db70c1e312c259,k,k,k,space,5.6446,0,10,10,10,1,"Do you think ""even"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
61118b8a86db70c1e312c259,e,e,e,space,4.0276,0,11,11,11,1,"Which colour almost always occurred with ""even""? Type the response key you pressed for that particular colour",e
60fc5b7b94aa5c4dffab9ac4,k,k,k,space,12.106,0,0,0,0,1,"Do you think ""high"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
60fc5b7b94aa5c4dffab9ac4,NA,NA,NA,space,4.0013,0,1,1,1,1,What do you think the word is? Type in your answer in the textbox,fair
60fc5b7b94aa5c4dffab9ac4,y,y,y,space,10.032,0,2,2,2,1,"Do you think ""even"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
60fc5b7b94aa5c4dffab9ac4,fair,fair,fair,space,3.348,0,3,3,3,1,What do you think the word was? Type your answer,warm
60fc5b7b94aa5c4dffab9ac4,k,k,k,space,4.2369,0,4,4,4,1,"Do you think ""warm"" mostly appeared in a particular colour?. If yes, then type ""y"", ""n"" for no and if you don't know type ""k"".",y
60fc5b7b94aa5c4dffab9ac4,NA,NA,NA,space,0.3926,0,5,5,5,1,"Which colour almost always occurred with ""warm""? Type the response key you pressed for that particular colour",e
60fc5b7b94aa5c4dffab9ac4,y,y,y,space,8.8432,0,6,6,6,1,"Do you think ""fair"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
60fc5b7b94aa5c4dffab9ac4,green,green,u,space,3.8588,0,7,7,7,1,"Which colour almost always occurred with ""fair""?  Type the response key you pressed for that particular colour",u
60fc5b7b94aa5c4dffab9ac4,y,y,y,space,3.6887,0,8,8,8,1,"Do you think ""high"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
60fc5b7b94aa5c4dffab9ac4,red,red,e,space,2.4207,0,9,9,9,1,"Which colour almost always occurred with ""high""?  Type the response key you pressed for that particular colour",u
60fc5b7b94aa5c4dffab9ac4,k,k,k,space,4.2715,0,10,10,10,1,"Do you think ""even"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
60fc5b7b94aa5c4dffab9ac4,NA,NA,NA,space,0.3931,0,11,11,11,1,"Which colour almost always occurred with ""even""? Type the response key you pressed for that particular colour",e
60ff2c1cf8fdc888b5fe786d,y,y,y,space,12.13136,0,0,0,0,1,"Do you think ""high"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
60ff2c1cf8fdc888b5fe786d,fair,fair,fair,space,5.394420001,0,1,1,1,1,What do you think the word is? Type in your answer in the textbox,fair
60ff2c1cf8fdc888b5fe786d,n,n,n,space,8.148250001,0,2,2,2,1,"Do you think ""even"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
60ff2c1cf8fdc888b5fe786d,warm,warm,warm,space,6.34783,0,3,3,3,1,What do you think the word was? Type your answer,warm
60ff2c1cf8fdc888b5fe786d,y,y,y,space,4.22891,0,4,4,4,1,"Do you think ""warm"" mostly appeared in a particular colour?. If yes, then type ""y"", ""n"" for no and if you don't know type ""k"".",y
60ff2c1cf8fdc888b5fe786d,red,red,e,space,4.030655,0,5,5,5,1,"Which colour almost always occurred with ""warm""? Type the response key you pressed for that particular colour",e
60ff2c1cf8fdc888b5fe786d,n,n,n,space,3.578375001,0,6,6,6,1,"Do you think ""fair"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
60ff2c1cf8fdc888b5fe786d,green,green,u,space,6.032579999,0,7,7,7,1,"Which colour almost always occurred with ""fair""?  Type the response key you pressed for that particular colour",u
60ff2c1cf8fdc888b5fe786d,y,y,y,space,4.24808,0,8,8,8,1,"Do you think ""high"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
60ff2c1cf8fdc888b5fe786d,red,red,e,space,2.48719,0,9,9,9,1,"Which colour almost always occurred with ""high""?  Type the response key you pressed for that particular colour",u
60ff2c1cf8fdc888b5fe786d,y,y,y,space,2.240300001,0,10,10,10,1,"Do you think ""even"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
60ff2c1cf8fdc888b5fe786d,green,green,u,space,1.752625,0,11,11,11,1,"Which colour almost always occurred with ""even""? Type the response key you pressed for that particular colour",e
61281debe85082cc937dd9ae,k,k,k,space,9.4087,0,0,0,0,1,"Do you think ""high"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
61281debe85082cc937dd9ae,fair,fair,fair,space,11.3465,0,1,1,1,1,What do you think the word is? Type in your answer in the textbox,fair
61281debe85082cc937dd9ae,k,k,k,space,4.1116,0,2,2,2,1,"Do you think ""even"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
61281debe85082cc937dd9ae,warm,warm,warm,space,3.6018,0,3,3,3,1,What do you think the word was? Type your answer,warm
61281debe85082cc937dd9ae,n,n,n,space,4.7377,0,4,4,4,1,"Do you think ""warm"" mostly appeared in a particular colour?. If yes, then type ""y"", ""n"" for no and if you don't know type ""k"".",y
61281debe85082cc937dd9ae,e,e,e,space,12.8424,0,5,5,5,1,"Which colour almost always occurred with ""warm""? Type the response key you pressed for that particular colour",e
61281debe85082cc937dd9ae,n,n,n,space,1.6907,0,6,6,6,1,"Do you think ""fair"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
61281debe85082cc937dd9ae,u,u,u,space,1.3447,0,7,7,7,1,"Which colour almost always occurred with ""fair""?  Type the response key you pressed for that particular colour",u
61281debe85082cc937dd9ae,y,y,y,space,3.7795,0,8,8,8,1,"Do you think ""high"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
61281debe85082cc937dd9ae,e,e,e,space,3.6513,0,9,9,9,1,"Which colour almost always occurred with ""high""?  Type the response key you pressed for that particular colour",u
61281debe85082cc937dd9ae,y,y,y,space,1.4841,0,10,10,10,1,"Do you think ""even"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
61281debe85082cc937dd9ae,u,u,u,space,0.6667,0,11,11,11,1,"Which colour almost always occurred with ""even""? Type the response key you pressed for that particular colour",e
611c014c59fd7dbcffe2b749,n,n,n,space,14.4,0,0,0,0,1,"Do you think ""high"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
611c014c59fd7dbcffe2b749,NA,NA,NA,space,15.486,0,1,1,1,1,What do you think the word is? Type in your answer in the textbox,fair
611c014c59fd7dbcffe2b749,n,n,n,space,9.3,0,2,2,2,1,"Do you think ""even"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
611c014c59fd7dbcffe2b749,fair,fair,fair,space,11.19,0,3,3,3,1,What do you think the word was? Type your answer,warm
611c014c59fd7dbcffe2b749,y,y,y,space,14.316,0,4,4,4,1,"Do you think ""warm"" mostly appeared in a particular colour?. If yes  then type ""y"" and  ""n"" for no and if you don't know type ""k"".",y
611c014c59fd7dbcffe2b749,e,e,e,space,11.91,0,5,5,5,1,"Which colour almost always occurred with """"warm""""? Type the response key you pressed for that particular colour""",e
611c014c59fd7dbcffe2b749,y,y,y,space,12.843,0,6,6,6,1,"Do you think ""fair"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
611c014c59fd7dbcffe2b749,u,u,u,space,5.187,0,7,7,7,1,"Which colour almost always occurred with ""fair""?  Type the response key you pressed for that particular colour",u
611c014c59fd7dbcffe2b749,n,n,n,space,8.104,0,8,8,8,1,"Do you think ""high"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
611c014c59fd7dbcffe2b749,e,e,e,space,8.072,0,9,9,9,1,"Which colour almost always occurred with ""high""?  Type the response key you pressed for that particular colour",u
611c014c59fd7dbcffe2b749,n,n,n,space,5.147,0,10,10,10,1,"Do you think ""even"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
611c014c59fd7dbcffe2b749,u,u,u,space,3.724,0,11,11,11,1,"Which colour almost always occurred with ""even""? Type the response key you pressed for that particular colour",e
612fe8ff6842ac7db96a5dea,yes,yes,y,space,13.5339,0,0,0,0,1,"Do you think ""high"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
612fe8ff6842ac7db96a5dea,fair,fair,fair,space,10.8182,0,1,1,1,1,What do you think the word is? Type in your answer in the textbox,fair
612fe8ff6842ac7db96a5dea,yes,yes,y,space,7.15,0,2,2,2,1,"Do you think ""even"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
612fe8ff6842ac7db96a5dea,high,high,high,space,25.4177,0,3,3,3,1,What do you think the word was? Type your answer,warm
612fe8ff6842ac7db96a5dea,yes,yes,y,space,14.0507,0,4,4,4,1,"Do you think """"warm"""" mostly appeared in a particular colour?. If yes then type ""y"" and ""n"""" for no and if you don't know type ""k"".",y
612fe8ff6842ac7db96a5dea,red,red,e,space,2.4013,0,5,5,5,1,"Which colour almost always occurred with """"warm""""? Type the response key you pressed for that particular colour""",e
612fe8ff6842ac7db96a5dea,yes,yes,y,space,1.8354,0,6,6,6,1,"Do you think ""fair"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
612fe8ff6842ac7db96a5dea,green,green,u,space,1.5827,0,7,7,7,1,"Which colour almost always occurred with ""fair""?  Type the response key you pressed for that particular colour",u
612fe8ff6842ac7db96a5dea,k,k,k,space,3.9007,0,8,8,8,1,"Do you think ""high"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
612fe8ff6842ac7db96a5dea,red,red,e,space,10.9203,0,9,9,9,1,"Which colour almost always occurred with ""high""?  Type the response key you pressed for that particular colour",u
612fe8ff6842ac7db96a5dea,k,k,k,space,2.9498,0,10,10,10,1,"Do you think ""even"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
612fe8ff6842ac7db96a5dea,green,green,u,space,2.0919,0,11,11,11,1,"Which colour almost always occurred with ""even""? Type the response key you pressed for that particular colour",e
612f903c57ddd80e100446aa,n,n,n,space,9.6359,0,0,0,0,1,"Do you think ""high"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
612f903c57ddd80e100446aa,NA,NA,NA,space,4.8096,0,1,1,1,1,What do you think the word is? Type in your answer in the textbox,fair
612f903c57ddd80e100446aa,y,y,y,space,3.6936,0,2,2,2,1,"Do you think ""even"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
612f903c57ddd80e100446aa,fair,fair,fair,space,1.8964,0,3,3,3,1,What do you think the word was? Type your answer,warm
612f903c57ddd80e100446aa,y,y,y,space,4.3101,0,4,4,4,1,"Do you think ""warm"" mostly appeared in a particular colour?. If yes, then type ""y"", ""n"" for no and if you don't know type ""k"".",y
612f903c57ddd80e100446aa,red,red,e,space,1.6063,0,5,5,5,1,"Which colour almost always occurred with ""warm""? Type the response key you pressed for that particular colour",e
612f903c57ddd80e100446aa,y,y,y,space,4.785,0,6,6,6,1,"Do you think ""fair"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
612f903c57ddd80e100446aa,green,green,u,space,2.8852,0,7,7,7,1,"Which colour almost always occurred with ""fair""?  Type the response key you pressed for that particular colour",u
612f903c57ddd80e100446aa,y,y,y,space,4.3142,0,8,8,8,1,"Do you think ""high"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
612f903c57ddd80e100446aa,red,red,e,space,1.757,0,9,9,9,1,"Which colour almost always occurred with ""high""?  Type the response key you pressed for that particular colour",u
612f903c57ddd80e100446aa,y,y,y,space,2.5796,0,10,10,10,1,"Do you think ""even"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
612f903c57ddd80e100446aa,green,green,u,space,1.9789,0,11,11,11,1,"Which colour almost always occurred with ""even""? Type the response key you pressed for that particular colour",e
5e3bf1f6a9b840027af8c0fc,n,n,n,space,8.0395,0,0,0,0,1,"Do you think ""high"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
5e3bf1f6a9b840027af8c0fc,NA,NA,NA,space,6.2989,0,1,1,1,1,What do you think the word is? Type in your answer in the textbox,fair
5e3bf1f6a9b840027af8c0fc,n,n,n,space,3.9265,0,2,2,2,1,"Do you think ""even"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
5e3bf1f6a9b840027af8c0fc,NA,NA,NA,space,1.2911,0,3,3,3,1,What do you think the word was? Type your answer,warm
5e3bf1f6a9b840027af8c0fc,y,y,y,space,5.6471,0,4,4,4,1,"Do you think ""warm"" mostly appeared in a particular colour?. If yes, then type ""y"", ""n"" for no and if you don't know type ""k"".",y
5e3bf1f6a9b840027af8c0fc,red,red,e,space,4.7582,0,5,5,5,1,"Which colour almost always occurred with ""warm""? Type the response key you pressed for that particular colour",e
5e3bf1f6a9b840027af8c0fc,y,y,y,space,5.5976,0,6,6,6,1,"Do you think ""fair"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
5e3bf1f6a9b840027af8c0fc,green,green,u,space,1.6517,0,7,7,7,1,"Which colour almost always occurred with ""fair""?  Type the response key you pressed for that particular colour",u
5e3bf1f6a9b840027af8c0fc,n,n,n,space,3.2086,0,8,8,8,1,"Do you think ""high"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
5e3bf1f6a9b840027af8c0fc,NA,NA,NA,space,2.5064,0,9,9,9,1,"Which colour almost always occurred with ""high""?  Type the response key you pressed for that particular colour",u
5e3bf1f6a9b840027af8c0fc,n,n,n,space,9.2562,0,10,10,10,1,"Do you think ""even"" mostly appeared in a particular colour?. If yes, then type ""y"", if no then type ""n"" and if you don't know type ""k"".",y
5e3bf1f6a9b840027af8c0fc,NA,NA,NA,space,1.471,0,11,11,11,1,"Which colour almost always occurred with ""even""? Type the response key you pressed for that particular colour",e
6128ee3a6a77a18f03fa0a77,even,even,y,space,11.3814,0,0,0,0,1,"Do you think ""high"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
6128ee3a6a77a18f03fa0a77,even,even,even,space,12.1098,0,1,1,1,1,What do you think the word is? Type in your answer in the textbox,fair
6128ee3a6a77a18f03fa0a77,y,y,y,space,17.1124,0,2,2,2,1,"Do you think ""even"" was always followed by a particular word? Type ""y"" for yes, ""n"" for no, and ""k"" in case you do not know.",y
6128ee3a6a77a18f03fa0a77,high,high,high,space,2.9558,0,3,3,3,1,What do you think the word was? Type your answer,warm
6128ee3a6a77a18f03fa0a77,y,y,y,space,5.5143,0,4,4,4,1,"Do you think ""warm"" mostly appeared in a particular colour?. If yes  then type ""y"" and  ""n"" for no and if you don't know type ""k"".",y
6128ee3a6a77a18f03fa0a77,red,red,e,space,3.4129,0,5,5,5,1,"Which colour almost always occurred with ""warm""? Type the response key you pressed for that particular colour",e
